,id,favorited,retweet
430,674269164442398721,938,249
431,674271431610523648,1648,782
432,674291837063053312,15501,6360
433,674318007229923329,1479,557
434,674372068062928900,894,334
435,674394782723014656,1573,617
436,674410619106390016,1256,507
437,674416750885273600,713,152
438,674422304705744896,1500,573
439,674436901579923456,1170,422
440,674447403907457024,1115,384
441,674468880899788800,6532,2223
442,674632714662858753,1573,620
443,674638615994089473,1765,632
444,674644256330530816,1074,297
445,674646392044941312,1503,544
446,674664755118911488,970,273
447,674670581682434048,1701,704
448,674690135443775488,1207,501
449,674737130913071104,672,100
450,674739953134403584,1171,424
451,674743008475090944,1471,595
452,674752233200820224,1546,503
453,674754018082705410,1433,482
454,674764817387900928,830,259
455,674767892831932416,1929,861
456,674774481756377088,1186,518
457,674781762103414784,2103,1310
458,674788554665512960,848,225
459,674790488185167872,1158,272
460,674793399141146624,2640,1184
461,674800520222154752,3165,934
462,674805413498527744,911,383
463,674999807681908736,2371,1200
464,675003128568291329,1633,507
465,675006312288268288,1028,244
466,675015141583413248,2852,1296
467,675047298674663426,1118,356
468,675109292475830276,2938,1224
469,675111688094527488,1014,275
470,675113801096802304,2064,852
471,675135153782571009,1367,532
472,675145476954566656,2249,975
473,675146535592706048,1265,341
474,675147105808306176,999,261
475,675149409102012420,3950,1828
476,675153376133427200,6656,2827
477,675166823650848770,3822,1749
478,675334060156301312,2942,1401
479,675349384339542016,4161,2460
480,675354435921575936,34599,18576
481,675362609739206656,1107,253
482,675372240448454658,1799,548
483,675432746517426176,1599,615
484,675483430902214656,1953,1057
485,675489971617296384,1371,649
486,675497103322386432,3319,1416
487,675501075957489664,18152,6325
488,675517828909424640,1382,495
489,675522403582218240,1098,308
490,675531475945709568,1246,420
491,675534494439489536,1909,454
492,675706639471788032,681,104
493,675707330206547968,2105,752
494,675710890956750848,2003,901
495,675740360753160193,1229,377
496,675781562965868544,1705,518
497,675798442703122432,10873,3688
498,675820929667219457,1112,252
499,675822767435051008,1618,578
500,675845657354215424,2423,971
501,675853064436391936,2855,1417
502,675870721063669760,1743,617
503,675878199931371520,4427,1536
504,675888385639251968,2524,1044
505,675891555769696257,2260,951
506,675898130735476737,1738,634
507,676089483918516224,1397,467
508,676098748976615425,3203,1565
509,676101918813499392,2980,1259
510,676146341966438401,2041,726
511,676191832485810177,2419,1121
512,676215927814406144,1845,645
513,676219687039057920,79091,33860
514,676237365392908289,1299,325
515,676263575653122048,2194,593
516,676430933382295552,1480,377
517,676440007570247681,1825,734
518,676470639084101634,12389,5110
519,676496375194980353,1603,584
520,676533798876651520,1994,606
521,676575501977128964,2753,1231
522,676582956622721024,1283,307
523,676588346097852417,2479,871
524,676603393314578432,1250,431
525,676606785097199616,2003,482
526,676613908052996102,1157,212
527,676617503762681856,3083,1083
528,676776431406465024,5299,2197
529,676811746707918848,1508,461
530,676819651066732545,1917,725
531,676821958043033607,24607,17128
532,676864501615042560,2237,784
533,676897532954456065,2388,798
534,676936541936185344,13537,5388
535,676942428000112642,2211,839
536,676946864479084545,1812,415
537,676948236477857792,2308,958
538,676949632774234114,1378,431
539,676957860086095872,2345,889
540,676975532580409345,2952,1175
541,677187300187611136,2913,1005
542,677228873407442944,3777,1795
543,677269281705472000,2117,776
544,677301033169788928,1329,455
545,677314812125323265,1754,592
546,677328882937298944,3872,1644
547,677331501395156992,1161,261
548,677334615166730240,1449,322
549,677530072887205888,1132,245
550,677547928504967168,7412,3984
551,677557565589463040,2601,1279
552,677565715327688705,1376,504
553,677573743309385728,2280,805
554,677644091929329666,2006,872
555,677662372920729601,2084,1071
556,677673981332312066,3556,1641
557,677687604918272002,2632,925
558,677698403548192770,1305,351
559,677700003327029250,3614,1576
560,677716515794329600,3261,1072
561,677895101218201600,5165,2332
562,677918531514703872,1442,447
563,678021115718029313,14707,6993
564,678255464182861824,1695,408
565,678278586130948096,12283,6683
566,678334497360859136,1388,295
567,678341075375947776,1851,593
568,678380236862578688,2603,991
569,678389028614488064,1997,463
570,678396796259975168,1698,463
571,678399652199309312,61277,30130
572,678410210315247616,4546,2012
573,678424312106393600,5806,2812
574,678446151570427904,4272,1739
575,678643457146150913,2201,473
576,678675843183484930,3076,1640
577,678740035362037760,4019,1886
578,678755239630127104,7653,3661
579,678764513869611008,1748,529
580,678767140346941444,3782,1516
581,678774928607469569,2984,1016
582,678798276842360832,3736,1310
583,678800283649069056,2760,992
584,678969228704284672,1757,512
585,678991772295516161,2497,1294
586,679047485189439488,2416,757
587,679062614270468097,18353,9087
588,679111216690831360,6401,2830
589,679132435750195208,3182,1281
590,679148763231985668,2973,1136
591,679158373988876288,23087,8957
592,679462823135686656,34161,20802
593,679475951516934144,2252,707
594,679503373272485890,3404,1635
595,679511351870550016,3620,1425
596,679527802031484928,2845,804
597,679530280114372609,5113,2287
598,679722016581222400,1778,522
599,679729593985699840,2319,910
600,679736210798047232,2252,886
601,679777920601223168,3320,1243
602,679828447187857408,38956,15467
603,679844490799091713,2545,862
604,679854723806179328,3079,1358
605,679862121895714818,2633,687
606,679877062409191424,2108,708
607,680055455951884288,17940,7878
608,680070545539371008,2759,967
609,680085611152338944,13712,9812
610,680100725817409536,3820,1512
611,680115823365742593,2910,1007
612,680130881361686529,2463,1049
613,680145970311643136,3880,1921
614,680161097740095489,2479,807
615,680176173301628928,4185,1726
616,680191257256136705,2301,566
617,680206703334408192,3043,1297
618,680221482581123072,1564,322
619,680440374763077632,1550,553
620,680473011644985345,2715,826
621,680494726643068929,1840,531
622,680497766108381184,4555,2119
623,680583894916304897,3871,1477
624,680609293079592961,2832,792
625,680798457301471234,3073,1154
626,680801747103793152,2545,910
627,680836378243002368,3700,1483
628,680889648562991104,1897,406
629,680913438424612864,2564,685
630,680934982542561280,2229,487
631,680940246314430465,3466,1173
632,680959110691590145,4893,2199
633,680970795137544192,2606,728
634,681193455364796417,3990,1645
635,681231109724700672,2569,531
636,681242418453299201,1608,606
637,681261549936340994,1560,300
638,681281657291280384,3453,1217
639,681297372102656000,3421,1062
640,681302363064414209,4257,2027
641,681320187870711809,2868,843
642,681339448655802368,10001,4494
643,681523177663676416,15427,6450
644,681579835668455424,3813,1451
645,681610798867845120,2054,522
646,681654059175129088,2843,1026
647,681679526984871937,1887,491
648,681694085539872773,13759,4465
649,681891461017812993,2648,924
650,681981167097122816,2973,1135
651,682003177596559360,3383,1685
652,682032003584274432,7079,2235
653,682047327939461121,3457,1064
654,682059653698686977,5337,1876
655,682242692827447297,3494,1308
656,682259524040966145,4484,1352
657,682303737705140231,3309,1103
658,682389078323662849,1790,513
659,682393905736888321,2391,753
660,682406705142087680,8163,1952
661,682429480204398592,3691,1281
662,682638830361513985,2213,662
663,682662431982772225,3275,1183
664,682697186228989953,1412,394
665,682750546109968385,1633,482
666,682788441537560576,2654,1236
667,682962037429899265,39919,18524
668,683030066213818368,2316,810
669,683078886620553216,2132,622
670,683098815881154561,2324,720
671,683111407806746624,3665,1014
672,683142553609318400,3096,1153
673,683357973142474752,3167,1038
674,683391852557561860,8185,2636
675,683449695444799489,4195,1780
676,683462770029932544,2621,745
677,683481228088049664,2827,1092
678,683498322573824003,3402,1063
679,683742671509258241,7029,3690
680,683773439333797890,3607,1493
681,683828599284170753,3000,1164
682,683834909291606017,2822,1227
683,683849932751646720,2826,1088
684,683852578183077888,2070,390
685,683857920510050305,4086,1231
686,684097758874210310,4428,1586
687,684122891630342144,2138,526
688,684177701129875456,2178,747
689,684188786104872960,3747,1304
690,684195085588783105,2064,577
691,684200372118904832,2342,1142
692,684222868335505415,4144,1530
693,684225744407494656,1335,235
694,684241637099323392,8804,3645
695,684460069371654144,2126,614
696,684481074559381504,4164,1296
697,684538444857667585,2855,1065
698,684567543613382656,3247,1374
699,684594889858887680,9642,3916
700,684800227459624960,2922,1094
701,684880619965411328,2258,917
702,684902183876321280,2016,591
703,684914660081053696,3773,1619
704,684926975086034944,3779,530
705,684940049151070208,3459,1158
706,684959798585110529,7177,3459
707,685169283572338688,4407,1583
708,685198997565345792,2502,738
709,685268753634967552,3344,1339
710,685307451701334016,2221,487
711,685315239903100929,3601,1197
712,685321586178670592,2857,717
713,685325112850124800,10251,4424
714,685532292383666176,3273,1274
715,685547936038666240,35529,17348
716,685641971164143616,3153,860
717,685663452032069632,3493,1616
718,685667379192414208,2516,641
719,685906723014619143,8107,3223
720,685943807276412928,1765,678
721,685973236358713344,2274,593
722,686003207160610816,1959,709
723,686007916130873345,2655,463
724,686034024800862208,3357,1301
725,686050296934563840,2375,816
726,686358356425093120,2362,756
727,686377065986265092,2382,624
728,686386521809772549,3494,981
729,686606069955735556,2029,597
730,686618349602762752,3968,1505
731,686683045143953408,3015,888
732,686730991906516992,4468,1320
733,686749460672679938,3748,1621
734,686947101016735744,9262,3507
735,687096057537363968,2412,676
736,687102708889812993,2518,1097
737,687109925361856513,6241,2736
738,687124485711986689,2330,559
739,687127927494963200,5896,2530
740,687312378585812992,4685,2100
741,687317306314240000,21671,10142
742,687460506001633280,2196,599
743,687476254459715584,2132,600
744,687480748861947905,1720,277
745,687494652870668288,2063,637
746,687664829264453632,2085,569
747,687704180304273409,2626,935
748,687807801670897665,2573,774
749,687818504314159109,2700,1062
750,687826841265172480,2934,1258
751,688064179421470721,1844,401
752,688116655151435777,3034,869
753,688179443353796608,2279,651
754,688211956440801280,2385,927
755,688385280030670848,10023,4919
756,688519176466644993,2475,803
757,688547210804498433,2804,773
758,688789766343622656,2382,733
759,688804835492233216,1028,218
760,688828561667567616,1476,409
761,688894073864884227,2403,774
762,688898160958271489,2262,870
763,688908934925697024,2273,854
764,688916208532455424,2936,961
765,689143371370250240,2187,574
766,689154315265683456,3299,1108
767,689275259254616065,1248,275
768,689280876073582592,2152,794
769,689283819090870273,3548,1222
770,689289219123089408,2423,1029
771,689517482558820352,3648,1575
772,689557536375177216,2213,509
773,689599056876867584,12537,6101
774,689623661272240129,2412,723
775,689659372465688576,11212,4309
776,689661964914655233,3434,1021
777,689835978131935233,2328,834
778,689877686181715968,3238,1312
779,689905486972461056,2607,769
780,689977555533848577,1466,491
781,689999384604450816,1531,414
782,690005060500217858,3929,1866
783,690015576308211712,2687,815
784,690021994562220032,3005,1146
785,690248561355657216,1810,457
786,690360449368465409,2863,981
787,690374419777196032,3493,956
788,690400367696297985,2003,498
789,690597161306841088,2109,666
790,690649993829576704,1405,311
791,690690673629138944,2490,874
792,690728923253055490,2328,577
793,690735892932222976,4056,1417
794,690932576555528194,3535,1122
795,690938899477221376,4459,2201
796,690959652130045952,3846,1388
797,691090071332753408,1837,377
798,691096613310316544,3192,994
799,691321916024623104,2778,730
800,691416866452082688,20859,8448
801,691444869282295808,2853,937
802,691459709405118465,4371,1266
803,691483041324204033,2548,635
804,691675652215414786,2081,563
805,691756958957883396,3118,1134
806,691820333922455552,4243,1818
807,692017291282812928,3085,1061
808,692142790915014657,1761,430
809,692158366030913536,2315,883
810,692187005137076224,2708,908
811,692417313023332352,10086,3823
812,692530551048294401,1986,465
813,692535307825213440,3440,1497
814,692568918515392513,4658,1693
815,692752401762250755,7344,4020
816,692828166163931137,3091,966
817,692894228850999298,2455,888
818,692901601640583168,1928,666
819,692905862751522816,2622,974
820,692919143163629568,2873,823
821,693095443459342336,2011,511
822,693109034023534592,1847,673
823,693155686491000832,8498,3539
824,693231807727280129,3075,811
825,693262851218264065,2398,554
826,693280720173801472,3608,1371
827,693486665285931008,1903,686
828,693590843962331137,5459,2169
829,693622659251335168,1655,409
830,693629975228977152,2635,882
831,693642232151285760,2736,459
832,693647888581312512,2902,653
833,693942351086120961,1860,407
834,694001791655137281,3634,1146
835,694183373896572928,3172,1024
836,694206574471057408,4503,2250
837,694329668942569472,2164,553
838,694352839993344000,2195,685
839,694356675654983680,1622,320
840,694669722378485760,38291,15928
841,694905863685980160,2983,1034
842,695051054296211456,2865,868
843,695064344191721472,1728,664
844,695074328191332352,3055,1215
845,695095422348574720,2830,675
846,695314793360662529,3926,1633
847,695409464418041856,9266,3931
848,695446424020918272,4682,1993
849,695629776980148225,4923,2330
850,695767669421768709,2017,824
851,695794761660297217,3421,859
852,695816827381944320,3227,1290
853,696405997980676096,3459,1255
854,696488710901260288,2735,1138
855,696713835009417216,2562,725
856,696754882863349760,1581,390
857,696877980375769088,2633,784
858,696886256886657024,5203,1978
859,696894894812565505,2531,743
860,696900204696625153,3438,1131
861,697242256848379904,2707,737
862,697255105972801536,3250,1281
863,697259378236399616,3544,1102
864,697270446429966336,5023,2046
865,697463031882764288,3677,1518
866,697482927769255936,2606,749
867,697575480820686848,2201,557
868,697596423848730625,3256,1391
869,697616773278015490,3396,1118
870,697881462549430272,3249,1306
871,697943111201378304,2580,759
872,697990423684476929,3531,1424
873,697995514407682048,1637,365
874,698178924120031232,3023,812
875,698195409219559425,18062,6587
876,698262614669991936,5115,2222
877,698342080612007937,2438,1046
878,698355670425473025,2007,498
879,698549713696649216,2495,685
880,698635131305795584,1378,375
881,698703483621523456,1564,417
882,698710712454139905,2660,756
883,698907974262222848,2736,681
884,698953797952008193,2913,992
885,698989035503689728,3647,1084
886,699036661657767936,2811,1319
887,699072405256409088,3235,1305
888,699079609774645248,2629,722
889,699088579889332224,2402,696
890,699323444782047232,3398,960
891,699370870310113280,2019,485
892,699413908797464576,2216,681
893,699423671849451520,1474,369
894,699434518667751424,2337,564
895,699446877801091073,6384,2883
896,699691744225525762,11038,5060
897,699775878809702401,2105,671
898,699779630832685056,2979,1368
899,699788877217865730,2417,544
900,699801817392291840,3282,1067
901,700002074055016451,3554,1488
902,700029284593901568,2223,640
903,700062718104104960,2839,763
904,700143752053182464,8114,3046
905,700151421916807169,2409,732
906,700167517596164096,2851,823
907,700462010979500032,4462,1987
908,700505138482569216,2449,628
909,700518061187723268,2834,882
910,700747788515020802,24636,10357
911,700796979434098688,2620,1056
912,700847567345688576,2610,551
913,700864154249383937,2784,672
914,700890391244103680,2388,636
915,701214700881756160,13200,5666
916,701545186879471618,2847,667
917,701570477911896070,3029,1031
918,701601587219795968,2244,510
919,701889187134500865,3836,1519
920,701952816642965504,4102,1123
921,701981390485725185,3697,1087
922,702217446468493312,5175,1477
923,702276748847800320,2654,839
924,702321140488925184,3540,1138
925,702539513671897089,3081,1062
926,702598099714314240,11124,3620
927,702671118226825216,2353,618
928,702684942141153280,3458,1189
929,702932127499816960,2784,799
930,703041949650034688,28445,13840
931,703079050210877440,7931,3402
932,703268521220972544,2112,610
933,703356393781329922,2048,425
934,703382836347330562,3768,1260
935,703407252292673536,2646,765
936,703425003149250560,4090,1525
937,703611486317502464,4150,1673
938,703631701117943808,2791,760
939,703769065844768768,3548,1251
940,703774238772166656,1982,514
941,704054845121142784,3145,1007
942,704113298707505153,1995,618
943,704347321748819968,1700,386
944,704364645503647744,8645,3912
945,704480331685040129,3652,1169
946,704499785726889984,3157,1100
947,704761120771465216,7142,3191
948,704819833553219584,2842,1113
949,704847917308362754,5495,1694
950,704859558691414016,2421,600
951,704871453724954624,4524,1226
952,705066031337840642,2333,665
953,705102439679201280,2311,570
954,705223444686888960,2767,884
955,705239209544720384,3217,826
956,705428427625635840,4102,1873
957,705442520700944385,4783,1819
958,705475953783398401,3176,1021
959,705591895322394625,3409,1274
960,705786532653883392,2094,585
961,705898680587526145,2543,626
962,705970349788291072,3371,983
963,705975130514706432,3332,818
964,706166467411222528,5521,1771
965,706265994973601792,2920,1007
966,706291001778950144,1823,513
967,706310011488698368,23042,8799
968,706346369204748288,3699,1013
969,706516534877929472,3334,1134
970,706538006853918722,3711,1545
971,706593038911545345,2314,693
972,706644897839910912,2768,1203
973,706681918348251136,3558,1067
974,706901761596989440,2219,664
975,707014260413456384,2464,650
976,707021089608753152,4353,1512
977,707038192327901184,2362,882
978,707059547140169728,2755,745
979,707297311098011648,2954,882
980,707315916783140866,2648,706
981,707377100785885184,3524,1183
982,707387676719185920,3766,1440
983,707411934438625280,2440,659
984,707420581654872064,2445,772
985,707610948723478529,18228,7075
986,707693576495472641,3674,1101
987,707741517457260545,2669,675
988,707776935007539200,3520,1044
989,707969809498152960,2890,1068
990,707995814724026368,3326,1234
991,708026248782585858,4681,2115
992,708109389455101952,2078,593
993,708119489313951744,2881,1075
994,708130923141795840,3637,924
995,708149363256774660,4570,1688
996,708349470027751425,2524,811
997,708356463048204288,3872,1486
998,708469915515297792,3296,899
999,708479650088034305,2728,747
1000,708711088997666817,2733,805
1001,708738143638450176,2938,895
1002,708810915978854401,17711,7649
1003,708834316713893888,1823,553
1004,708845821941387268,3175,987
1005,709042156699303936,5115,1811
1006,709158332880297985,2192,457
1007,709198395643068416,2582,706
1008,709207347839836162,13514,6415
1009,709225125749587968,2570,631
1010,709409458133323776,2803,766
1011,709449600415961088,2383,652
1012,709519240576036864,1592,265
1013,709556954897764353,3520,1172
1014,709566166965075968,3780,1334
1015,709852847387627521,3759,1312
1016,709901256215666688,719,109
1017,709918798883774466,3197,1185
1018,710117014656950272,5903,2195
1019,710140971284037632,2967,983
1020,710153181850935296,3108,977
1021,710269109699739648,2572,1234
1022,710272297844797440,4846,1383
1023,710283270106132480,2274,568
1024,710588934686908417,4889,2057
1025,710658690886586372,2469,622
1026,710833117892898816,2883,590
1027,710844581445812225,2730,754
1028,710997087345876993,4875,1536
1029,711008018775851008,3209,689
1030,711306686208872448,3539,804
1031,711363825979756544,3925,1256
1032,711652651650457602,4145,1012
1033,711694788429553666,35209,20048
1034,711732680602345472,9554,4530
1035,711743778164514816,3046,1084
1036,711968124745228288,8620,2538
1037,711998809858043904,0,137
1038,712065007010385924,2419,692
1039,712085617388212225,3462,541
1040,712092745624633345,3156,996
1041,712097430750289920,4070,1147
1042,712438159032893441,5695,1715
1043,712668654853337088,4455,1336
1044,712717840512598017,13250,5474
1045,712809025985978368,19961,7405
1046,713175907180089344,4768,1597
1047,713177543487135744,7708,3116
1048,713411074226274305,4715,1414
1049,713761197720473600,5210,1512
1050,713900603437621249,3018,817
1051,713919462244790272,3498,852
1052,714141408463036416,4602,1535
1053,714214115368108032,2430,966
1054,714251586676113411,3501,923
1055,714258258790387713,3221,790
1056,714606013974974464,3874,1022
1057,714631576617938945,3500,1097
1058,714957620017307648,4422,1555
1059,714982300363173890,4018,1133
1060,715009755312439296,4468,1362
1061,715200624753819648,5483,2065
1062,715220193576927233,2577,723
1063,715342466308784130,3232,753
1064,715360349751484417,5851,1729
1065,715680795826982913,4628,1782
1066,715696743237730304,4181,1417
1067,715733265223708672,4993,1859
1068,715928423106027520,3428,965
1069,716080869887381504,5230,1915
1070,716285507865542656,2975,1196
1071,716439118184652801,2527,241
1072,716791146589110272,5914,1520
1073,716802964044845056,4562,1286
1074,717009362452090881,3498,1075
1075,717047459982213120,6712,2092
1076,717421804990701568,3374,927
1077,717537687239008257,6168,2017
1078,717790033953034240,3107,1241
1079,717841801130979328,2620,655
1080,718234618122661888,4134,1097
1081,718246886998687744,2059,552
1082,718454725339934721,5216,1650
1083,718460005985447936,2891,584
1084,718540630683709445,2670,1111
1085,718613305783398402,2621,531
1086,718631497683582976,20313,8888
1087,718939241951195136,5613,1925
1088,718971898235854848,3734,1207
1089,719332531645071360,3648,1049
1090,719339463458033665,4719,1370
1091,719367763014393856,2979,810
1092,719551379208073216,5407,2121
1093,719704490224398336,4882,1590
1094,719991154352222208,5180,1925
1095,720043174954147842,5245,2199
1096,720059472081784833,4160,1240
1097,720340705894408192,3065,1072
1098,720389942216527872,6865,2768
1099,720415127506415616,4414,1639
1100,720775346191278080,2647,745
1101,720785406564900865,3330,845
1102,721001180231503872,2698,676
1103,721503162398597120,4988,2064
1104,722613351520608256,5298,1795
1105,722974582966214656,4400,1721
1106,723179728551723008,5664,2059
1107,723673163800948736,3237,982
1108,723688335806480385,8282,3273
1109,723912936180330496,4156,1346
1110,724004602748780546,4478,1737
1111,724046343203856385,2851,609
1112,724049859469295616,4648,1940
1113,724405726123311104,5688,1808
1114,724771698126512129,2544,704
1115,724983749226668032,3964,1432
1116,725729321944506368,5551,1953
1117,725786712245440512,4459,1490
1118,725842289046749185,7558,2903
1119,726224900189511680,4730,1275
1120,726828223124897792,3809,1104
1121,726887082820554753,4115,1650
1122,726935089318363137,7376,2685
1123,727175381690781696,4144,1499
1124,727286334147182592,3255,902
1125,727314416056803329,3553,821
1126,727524757080539137,4795,1349
1127,727644517743104000,6332,1920
1128,727685679342333952,3143,698
1129,728015554473250816,4399,1201
1130,728035342121635841,4868,1837
1131,728046963732717569,4629,1292
1132,728387165835677696,3938,1049
